,humidity,pressure,temperature,utc_time,weather,wind_direction,wind_speed
0,16.0,1024.6,-2.85,2017-01-30 16:00:00,Sunny/clear,212.5,1.7
1,18.5,1024.4,-3.45,2017-01-30 17:00:00,Sunny/clear,215.0,1.4
2,19.0,1024.1,-3.6500000000000004,2017-01-30 18:00:00,Sunny/clear,187.0,1.05
3,21.5,1023.55,-3.8,2017-01-30 19:00:00,Sunny/clear,226.0,1.1
4,24.0,1022.75,-4.1,2017-01-30 20:00:00,Sunny/clear,203.5,0.9
5,25.0,1022.3499999999999,-4.449999999999999,2017-01-30 21:00:00,Sunny/clear,211.5,0.8
6,27.5,1021.9,-4.7,2017-01-30 22:00:00,Sunny/clear,204.5,0.75
7,29.0,1022.0,-5.5,2017-01-30 23:00:00,Haze,195.5,0.7
8,31.5,1022.1500000000001,-6.2,2017-01-31 00:00:00,Sunny/clear,197.5,0.6
9,27.5,1022.1500000000001,-3.75,2017-01-31 01:00:00,Haze,233.0,0.7
10,20.0,1021.9,-1.1,2017-01-31 02:00:00,Haze,194.0,1.2
11,16.0,1021.9,0.6,2017-01-31 03:00:00,Sunny/clear,193.0,1.55
12,14.0,1020.8,2.0,2017-01-31 04:00:00,Sunny/clear,148.5,1.45
13,13.0,1019.6,3.25,2017-01-31 05:00:00,Sunny/clear,170.5,1.4
14,12.0,1018.8,4.0,2017-01-31 06:00:00,Sunny/clear,235.0,1.65
15,11.0,1018.4,4.55,2017-01-31 07:00:00,Sunny/clear,218.0,1.85
16,12.0,1018.8499999999999,4.5,2017-01-31 08:00:00,Sunny/clear,213.0,2.2
17,13.0,1019.55,3.3,2017-01-31 09:00:00,Sunny/clear,217.0,1.85
18,17.0,1020.25,1.05,2017-01-31 10:00:00,Sunny/clear,230.0,1.6
19,20.0,1021.25,-0.55,2017-01-31 11:00:00,Sunny/clear,251.0,1.5499999999999998
20,23.0,1022.1,-2.2,2017-01-31 12:00:00,Sunny/clear,217.0,1.2999999999999998
21,21.5,1023.05,-1.4,2017-01-31 13:00:00,Sunny/clear,86.5,1.65
22,20.5,1024.0,-1.7000000000000002,2017-01-31 14:00:00,Sunny/clear,81.5,2.1
23,19.0,1025.15,-0.7,2017-01-31 15:00:00,Sunny/clear,45.5,1.95
24,20.5,1026.15,-1.0,2017-01-31 16:00:00,Sunny/clear,119.5,1.95
25,22.0,1026.6999999999998,-1.7,2017-01-31 17:00:00,Sunny/clear,67.0,1.95
26,23.0,1027.5,-2.5,2017-01-31 18:00:00,Sunny/clear,120.5,2.3
27,23.5,1028.05,-3.25,2017-01-31 19:00:00,Sunny/clear,60.0,2.25
28,24.5,1028.75,-3.85,2017-01-31 20:00:00,Sunny/clear,59.5,2.1
29,25.0,1029.7,-3.95,2017-01-31 21:00:00,Sunny/clear,50.5,2.1500000000000004
30,25.0,1030.45,-4.2,2017-01-31 22:00:00,Sunny/clear,46.5,2.05
