,PM2.5,utc_time,humidity,pressure,temperature,weather,wind_direction,wind_speed
0,50.84,2018-01-31 16:00:00,38.0,1020.3499999999999,-6.4,Sunny/clear,175.5,0.9
1,47.8235294117647,2018-01-31 17:00:00,39.0,1020.05,-6.8,Sunny/clear,288.0,0.55
2,47.23529411764706,2018-01-31 18:00:00,42.0,1019.6500000000001,-7.45,Sunny/clear,118.5,0.95
3,46.411764705882355,2018-01-31 19:00:00,43.5,1019.3499999999999,-8.05,Sunny/clear,145.0,0.8
4,44.76470588235294,2018-01-31 20:00:00,44.5,1018.9,-8.65,Sunny/clear,284.5,1.05
5,42.16,2018-01-31 21:00:00,45.0,1019.05,-9.25,Sunny/clear,159.0,1.0
6,39.24,2018-01-31 22:00:00,46.0,1019.25,-9.600000000000001,Sunny/clear,103.0,0.95
7,40.970588235294116,2018-01-31 23:00:00,47.5,1019.8499999999999,-9.7,Sunny/clear,211.0,0.8
8,40.6,2018-02-01 00:00:00,47.5,1020.5,-9.55,Sunny/clear,252.0,0.9
9,46.11764705882353,2018-02-01 01:00:00,41.0,1020.8499999999999,-5.55,Sunny/clear,255.5,0.8
10,48.72727272727273,2018-02-01 02:00:00,27.5,1020.95,-1.95,Sunny/clear,82.5,1.2999999999999998
11,48.26470588235294,2018-02-01 03:00:00,21.5,1020.7,0.45,Sunny/clear,76.0,1.45
12,45.029411764705884,2018-02-01 04:00:00,18.0,1020.0,2.75,Sunny/clear,122.0,1.9
13,40.78125,2018-02-01 05:00:00,18.0,1019.2,3.55,Sunny/clear,151.0,2.05
14,37.27272727272727,2018-02-01 06:00:00,16.0,1018.9,4.2,Sunny/clear,225.0,2.7
15,36.94117647058823,2018-02-01 07:00:00,15.5,1018.95,4.45,Sunny/clear,270.0,2.5
16,33.529411764705884,2018-02-01 08:00:00,16.0,1019.25,4.0,Sunny/clear,301.0,2.2
17,30.823529411764707,2018-02-01 09:00:00,18.5,1020.3,3.1,Sunny/clear,308.0,2.7
18,29.09090909090909,2018-02-01 10:00:00,22.0,1021.9,1.85,Sunny/clear,316.0,3.5
19,23.24,2018-02-01 11:00:00,23.0,1023.1500000000001,1.4,Sunny/clear,309.0,3.8499999999999996
20,15.558823529411764,2018-02-01 12:00:00,21.0,1024.25,0.8,Sunny/clear,319.5,3.6
21,9.484848484848484,2018-02-01 13:00:00,21.0,1025.25,-0.05,Sunny/clear,336.0,4.25
22,7.0,2018-02-01 14:00:00,21.0,1026.3,-1.05,Sunny/clear,327.5,4.15
23,6.2,2018-02-01 15:00:00,22.0,1027.15,-2.1500000000000004,Sunny/clear,328.5,4.35
24,5.96,2018-02-01 16:00:00,24.0,1028.3000000000002,-3.2,Sunny/clear,320.0,4.0
25,6.794117647058823,2018-02-01 17:00:00,26.0,1028.75,-3.9,Sunny/clear,325.0,4.0
26,6.2,2018-02-01 18:00:00,27.5,1029.25,-4.4,Sunny/clear,308.5,4.25
27,6.48,2018-02-01 19:00:00,28.0,1029.5,-4.65,Sunny/clear,321.5,3.45
28,6.84,2018-02-01 20:00:00,29.0,1029.9,-5.4,Sunny/clear,322.5,3.2
29,6.818181818181818,2018-02-01 21:00:00,27.0,1031.05,-5.699999999999999,Sunny/clear,316.0,4.35
30,5.9411764705882355,2018-02-01 22:00:00,23.0,1031.8000000000002,-6.4,Sunny/clear,306.5,4.75
